timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
142112000,-0.0024009312,-0.09219989,-3.109868,0.0,-0.015789459,0.046096813,-0.00046807795,0.9988121,0.0,0.0,-0.5768073,1,0,0,0,0,0
142208000,-0.002184325,-0.088746235,-3.1092372,0.0,-0.01611265,0.044370376,-0.0003733553,0.99888515,0.0,0.0,-0.5758869,1,0,0,0,0,0
142304000,-0.0021886744,-0.085180044,-3.1087508,0.0,-0.016358692,0.042589337,-0.00039407334,0.99895865,0.0,0.0,-0.5751703,1,0,0,0,0,0
142420000,-0.002869611,-0.08275985,-3.1082768,0.0,-0.01658351,0.041386213,-0.00074430445,0.9990054,0.0,0.0,-0.5746676,1,0,0,0,0,0
142516000,-0.0032868676,-0.07860503,-3.1076124,0.0,-0.016911617,0.039314568,-0.0009743765,0.9990833,0.0,0.0,-0.57377464,1,0,0,0,0,0
142616000,-0.0017140731,-0.0812424,-3.0691466,0.0,-0.036150422,0.04061439,0.0006149275,0.99852055,0.0,0.0,-0.5749579,1,0,0,0,0,0
142712000,0.025784222,-0.0962529,-2.9937482,0.0,-0.07438178,0.04702149,0.01639437,0.99598575,0.0,0.0,-0.5709178,1,0,0,0,0,0
142808000,0.07887243,-0.12402974,-2.9183497,0.0,-0.113517456,0.057158347,0.046003345,0.9908231,0.0,0.0,-0.57278824,1,0,0,0,0,0
142904000,0.14612617,-0.16453844,-2.8429513,0.0,-0.15379967,0.07022229,0.08413413,0.9820061,0.0,0.0,-0.57570165,1,0,0,0,0,0
143020000,0.21359791,-0.22096394,-2.751845,0.0,-0.20289613,0.08703838,0.1251697,0.967259,0.0,0.0,-0.58046746,1,0,0,0,0,0
143116000,0.24407592,-0.26569045,-2.6764464,0.0,-0.24244253,0.1001195,0.14771542,0.95361304,0.0,0.0,-0.58596176,1,0,0,0,0,0
143216000,0.23956841,-0.2894897,-2.5979064,0.0,-0.280399,0.106196955,0.15235794,0.94174606,0.0,0.0,-0.58862287,1,0,0,0,0,0
143312000,0.21879373,-0.29985946,-2.522508,0.0,-0.3149377,0.10853393,0.14805238,0.9311902,0.0,0.0,-0.5932282,1,0,0,0,0,0
143408000,0.2003794,-0.3130431,-2.4471095,0.0,-0.34912077,0.1122223,0.14568448,0.91885626,0.0,0.0,-0.6010592,1,0,0,0,0,0
143504000,0.18371338,-0.33197394,-2.371711,0.0,-0.38282862,0.11851843,0.14562799,0.9045375,0.0,0.0,-0.6070368,1,0,0,0,0,0
143620000,0.17313682,-0.3688339,-2.2806046,0.0,-0.4231152,0.13054854,0.15347812,0.88338846,0.0,0.0,-0.6112064,1,0,0,0,0,0
143716000,0.15837108,-0.3925723,-2.2052062,0.0,-0.45498928,0.13848323,0.15697016,0.8655446,0.0,0.0,-0.61543494,1,0,0,0,0,0
143816000,0.13341245,-0.40617052,-2.126666,0.0,-0.4866661,0.14415593,0.15485613,0.8475817,0.0,0.0,-0.6183061,1,0,0,0,0,0
143912000,0.11191763,-0.42460534,-2.0512676,0.0,0.5161978,-0.15153378,-0.1558434,-0.82842636,0.0,0.0,-0.62133276,1,0,0,0,0,0
144008000,0.08717117,-0.43909144,-1.9758692,0.0,0.5446159,-0.15824819,-0.15526357,-0.8088536,0.0,0.0,-0.6255417,1,0,0,0,0,0
144104000,0.061008,-0.4493131,-1.9004707,0.0,0.57214296,-0.16386262,-0.15366876,-0.7887886,0.0,0.0,-0.630968,1,0,0,0,0,0
144220000,0.029115366,-0.47030255,-1.8093643,0.0,0.6035323,-0.17441629,-0.15508789,-0.76241416,0.0,0.0,-0.63868016,1,0,0,0,0,0
144316000,-0.00011417308,-0.48300934,-1.7339659,0.0,0.628339,-0.18236965,-0.15472779,-0.740264,0.0,0.0,-0.64158386,1,0,0,0,0,0
144416000,-0.032305248,-0.48797572,-1.6554258,0.0,0.6535646,-0.18847282,-0.15187682,-0.71712255,0.0,0.0,-0.642336,1,0,0,0,0,0
144512000,-0.059032515,-0.49668902,-1.5915483,0.0,0.67278683,-0.19554104,-0.15148222,-0.6972623,0.0,0.0,-0.6469623,1,0,0,0,0,0
